kingdom,id,scientificName,scientificName
Aves,11959,Hieraaetus pennatus,"Hieraaetus pennatus (Gmelin, JF, 1788)"
Aves,11446,Himantopus himantopus,"Himantopus himantopus (Linnaeus, 1758)"
Aves,16402,Hippolais icterina,"Hippolais icterina (Vieillot, 1817)"
Aves,33081,Hippolais pallida,"Iduna pallida (Hemprich & Ehrenberg, 1833)"
Aves,12009,Hippolais polyglotta,"Hippolais polyglotta (Vieillot, 1817)"
Aves,11132,Hirundo daurica,"Cecropis daurica (Laxmann, 1769)"
Aves,12134,Hirundo rustica,"Hirundo rustica Linnaeus, 1758"
Aves,14023,Hydrobates pelagicus,"Hydrobates pelagicus (Linnaeus, 1758)"
Aves,11750,Ixobrychus minutus,"Ixobrychus minutus (Linnaeus, 1766)"
Aves,12326,Jynx torquilla,"Jynx torquilla Linnaeus, 1758"
Aves,11800,Lagopus muta,"Lagopus muta (Montin, 1781)"
Aves,11055,Lanius collurio,"Lanius collurio Linnaeus, 1758"
Aves,16426,Lanius meridionalis ,"Lanius meridionalis Temminck, 1820"
Aves,11741,Lanius minor,"Lanius minor Gmelin, JF, 1788"
Aves,12190,Lanius senator,"Lanius senator Linnaeus, 1758"
Aves,14053,Larus audouinii,"Larus audouinii Payraudeau, 1826"
Aves,14056,Larus canus,"Larus canus Linnaeus, 1758"
Aves,14066,Larus marinus,"Larus marinus Linnaeus, 1758"
Aves,14050,Larus melanocephalus,"Larus melanocephalus Temminck, 1820"
Aves,14071,Larus minutus,"Hydrocoloeus minutus (Pallas, 1776)"
Aves,11564,Limosa lapponica,"Limosa lapponica (Linnaeus, 1758)"
Aves,11600,Limosa limosa,"Limosa limosa (Linnaeus, 1758)"
Aves,11630,Locustella luscinioides,"Locustella luscinioides (Savi, 1824)"
Aves,11807,Locustella naevia,"Locustella naevia (Boddaert, 1783)"
Aves,16421,Lophophanes cristatus,"Lophophanes cristatus (Linnaeus, 1758)"
Aves,11116,Loxia curvirostra,"Loxia curvirostra Linnaeus, 1758"
Aves,10750,Lullula arborea,"Lullula arborea (Linnaeus, 1758)"
Aves,11701,Luscinia megarhynchos,"Luscinia megarhynchos Brehm, CL, 1831"
Aves,12282,Luscinia svecica,"Luscinia svecica (Linnaeus, 1758)"
Aves,10699,Marmaronetta angustirostris,"Marmaronetta angustirostris (Ménétries, 1832)"
Aves,10937,Melanocorypha calandra,"Melanocorypha calandra (Linnaeus, 1766)"
Aves,10738,Merops apiaster,"Merops apiaster Linnaeus, 1758"
Aves,11735,Milvus migrans,"Milvus migrans (Boddaert, 1783)"
Aves,11737,Milvus milvus ,"Milvus milvus (Linnaeus, 1758)"
Aves,12155,Monticola saxatilis,"Monticola saxatilis (Linnaeus, 1766)"
Aves,12226,Monticola solitarius,"Monticola solitarius (Linnaeus, 1758)"
Aves,11858,Montifringilla nivalis,"Montifringilla nivalis (Linnaeus, 1766)"
Aves,14031,Morus bassanus,"Morus bassanus (Linnaeus, 1758)"
Aves,10648,Motacilla alba,"Motacilla alba Linnaeus, 1758"
Aves,10898,Motacilla cinerea,"Motacilla cinerea Tunstall, 1771"
Aves,11274,Motacilla flava,"Motacilla flava Linnaeus, 1758"
Aves,12250,Muscicapa striata,"Muscicapa striata (Pallas, 1764)"
Aves,11961,Neophron percnopterus  ,"Neophron percnopterus (Linnaeus, 1758)"
Aves,23776,Neophron percnopterus majorensis,"Neophron percnopterus majorensis Donázar, Negro, Palacios, Gangoso, Godoy, Ceballos, Hiraldo & Capote, 2002"
Aves,10763,Numenius arquata,"Numenius arquata (Linnaeus, 1758)"
Aves,10763,Numenius arquata,"Numenius arquata (Linnaeus, 1758)"
Aves,11974,Numenius phaeopus  ,"Numenius phaeopus (Linnaeus, 1758)"
Aves,16347,Numenius tenuirostris ,"Numenius tenuirostris Vieillot, 1817"
Aves,11870,Nycticorax nycticorax,"Nycticorax nycticorax (Linnaeus, 1758)"
Aves,33016,Oceanodroma castro,"Hydrobates castro (Harcourt, 1851)"
Aves,33149,Oceanodroma leucorhoa,"Hydrobates leucorhous (Vieillot, 1818) "
